sample_ts,pid,tid,pcpu,stat,comm
1783526826,39773,39773,0.0,Sl,bg_engine
1783526826,39773,39774,0.0,Sl,HangWatcher
1783526826,39773,39782,0.0,Sl,PerfettoTrace
1783526826,39773,39783,0.0,Sl,ThreadPoolServi
1783526826,39773,39784,0.0,Sl,ThreadPoolForeg
1783526826,39773,39785,0.0,Sl,Chrome_ChildIOT
1783526826,39773,39787,0.0,Sl,ThreadPoolForeg
1783526826,39773,39794,0.0,Sl,Compositor
1783526826,39773,39796,0.0,Sl,ThreadPoolSingl
1783526827,39773,39773,0.0,Sl,bg_engine
1783526827,39773,39774,0.0,Sl,HangWatcher
1783526827,39773,39782,0.0,Sl,PerfettoTrace
1783526827,39773,39783,0.0,Sl,ThreadPoolServi
1783526827,39773,39784,0.0,Sl,ThreadPoolForeg
1783526827,39773,39785,0.0,Sl,Chrome_ChildIOT
1783526827,39773,39787,0.0,Sl,ThreadPoolForeg
1783526827,39773,39794,0.0,Sl,Compositor
1783526827,39773,39796,0.0,Sl,ThreadPoolSingl
1783526828,39773,39773,0.0,Sl,bg_engine
1783526828,39773,39774,0.0,Sl,HangWatcher
1783526828,39773,39782,0.0,Sl,PerfettoTrace
1783526828,39773,39783,0.0,Sl,ThreadPoolServi
1783526828,39773,39784,0.0,Sl,ThreadPoolForeg
1783526828,39773,39785,0.0,Sl,Chrome_ChildIOT
1783526828,39773,39787,0.0,Sl,ThreadPoolForeg
1783526828,39773,39794,0.0,Sl,Compositor
1783526828,39773,39796,0.0,Sl,ThreadPoolSingl
1783526829,39773,39773,0.0,Sl,bg_engine
1783526829,39773,39774,0.0,Sl,HangWatcher
1783526829,39773,39782,0.0,Sl,PerfettoTrace
1783526829,39773,39783,0.0,Sl,ThreadPoolServi
1783526829,39773,39784,0.0,Sl,ThreadPoolForeg
1783526829,39773,39785,0.0,Sl,Chrome_ChildIOT
1783526829,39773,39787,0.0,Sl,ThreadPoolForeg
1783526829,39773,39794,0.0,Sl,Compositor
1783526829,39773,39796,0.0,Sl,ThreadPoolSingl
1783526830,39773,39773,0.0,Sl,bg_engine
1783526830,39773,39774,0.0,Sl,HangWatcher
1783526830,39773,39782,0.0,Sl,PerfettoTrace
1783526830,39773,39783,0.0,Sl,ThreadPoolServi
1783526830,39773,39784,0.0,Sl,ThreadPoolForeg
1783526830,39773,39785,0.0,Sl,Chrome_ChildIOT
1783526830,39773,39787,0.0,Sl,ThreadPoolForeg
1783526830,39773,39794,0.0,Sl,Compositor
1783526830,39773,39796,0.0,Sl,ThreadPoolSingl
1783526831,39773,39773,0.0,Sl,bg_engine
1783526831,39773,39774,0.0,Sl,HangWatcher
1783526831,39773,39782,0.0,Sl,PerfettoTrace
1783526831,39773,39783,0.0,Sl,ThreadPoolServi
1783526831,39773,39784,0.0,Sl,ThreadPoolForeg
1783526831,39773,39785,0.0,Sl,Chrome_ChildIOT
1783526831,39773,39787,0.0,Sl,ThreadPoolForeg
1783526831,39773,39794,0.0,Sl,Compositor
1783526831,39773,39796,0.0,Sl,ThreadPoolSingl
1783526832,39773,39773,0.0,Sl,bg_engine
1783526832,39773,39774,0.0,Sl,HangWatcher
1783526832,39773,39782,0.0,Sl,PerfettoTrace
1783526832,39773,39783,0.0,Sl,ThreadPoolServi
1783526832,39773,39784,0.0,Sl,ThreadPoolForeg
1783526832,39773,39785,0.0,Sl,Chrome_ChildIOT
1783526832,39773,39787,0.0,Sl,ThreadPoolForeg
1783526832,39773,39794,0.0,Sl,Compositor
1783526832,39773,39796,0.0,Sl,ThreadPoolSingl
1783526833,39773,39773,0.0,Sl,bg_engine
1783526833,39773,39774,0.0,Sl,HangWatcher
