wall_clock_us,interval_us,paint_seq,pump_active_us,paint_latency_us,waited_deadline
1567383740,0,0,29840,24746,1
1567409439,0,0,6614,59,1
1567430638,0,0,1185,56,1
1567445171,0,0,284,12,1
1567464334,0,0,493,27,1
1567484554,0,0,6205,25,1
1567510280,0,1,1048,32,0
1567525037,0,1,251,14,1
1567544318,0,1,1129,15,1
1567565193,54912,2,374,28,0
1567584765,0,2,1062,20,1
1567605138,39945,3,2526,30,0
1567626622,21483,4,1806,25,0
1567646730,0,4,1989,14,1
1567666032,39409,5,3263,19,0
1567688181,22149,6,7340,23,0
1567711359,23177,7,468,24,0
1567724467,0,7,872,14,1
1567744941,33582,8,1018,20,0
1567765145,20203,9,164,54,0
1567784231,0,9,798,15,1
1567804842,39697,10,172,21,0
1567825036,20193,11,819,803,0
1567844066,0,11,954,18,1
1567866946,41910,12,182,26,0
1567884262,0,12,818,21,1
1567904866,37919,13,979,24,0
1567926280,21414,14,178,27,0
1567944245,0,14,793,14,1
1567964836,38555,15,207,22,0
1567984238,0,15,821,15,1
1568004874,40038,16,230,34,0
1568024307,0,16,854,15,1
1568044900,40026,17,207,27,0
1568064291,0,17,956,17,1
1568085010,40109,18,200,32,0
1568104270,0,18,981,14,1
1568125050,40039,19,212,32,0
1568144300,0,19,927,20,1
1568164958,39908,20,178,26,0
1568184271,0,20,895,20,1
1568204953,39994,21,275,33,0
1568224653,0,21,890,16,1
1568244954,40001,22,211,33,0
1568264307,0,22,944,20,1
1568285022,40068,23,262,48,0
1568304364,0,23,980,20,1
1568325061,40038,24,1038,37,0
1568345119,20058,25,1036,25,0
1568365116,19997,26,167,24,0
1568384244,0,26,815,15,1
1568404859,39742,27,1154,22,0
1568425290,20431,28,1060,54,0
1568445126,19836,29,1035,26,0
1568465130,20003,30,1021,25,0
1568485099,19969,31,995,22,0
1568505070,19971,32,990,21,0
1568525069,19998,33,994,24,0
1568545069,20000,34,1035,21,0
1568565113,20043,35,980,23,0
1568585061,19948,36,1015,21,0
1568605102,20040,37,1102,21,0
1568625188,20085,38,165,25,0
1568644231,0,38,994,18,1
