sample_ts,pid,tid,pcpu,stat,comm
1783535901,147445,147445,12.4,Sl,bg_engine
1783535901,147445,147446,0.0,Sl,HangWatcher
1783535901,147445,147452,0.0,Sl,PerfettoTrace
1783535901,147445,147453,0.0,Sl,ThreadPoolServi
1783535901,147445,147454,50.2,Sl,ThreadPoolForeg
1783535901,147445,147455,0.1,Sl,Chrome_ChildIOT
1783535901,147445,147456,47.2,Sl,ThreadPoolForeg
1783535901,147445,147464,4.4,Sl,Compositor
1783535901,147445,147465,0.0,Sl,ThreadPoolSingl
1783535901,147445,147467,49.0,Sl,ThreadPoolForeg
1783535902,147445,147445,12.0,Rl,bg_engine
1783535902,147445,147446,0.0,Sl,HangWatcher
1783535902,147445,147452,0.0,Sl,PerfettoTrace
1783535902,147445,147453,0.0,Sl,ThreadPoolServi
1783535902,147445,147454,49.6,Sl,ThreadPoolForeg
1783535902,147445,147455,0.2,Sl,Chrome_ChildIOT
1783535902,147445,147456,46.5,Sl,ThreadPoolForeg
1783535902,147445,147464,4.3,Sl,Compositor
1783535902,147445,147465,0.0,Sl,ThreadPoolSingl
1783535902,147445,147467,47.8,Sl,ThreadPoolForeg
1783535903,147445,147445,12.1,Sl,bg_engine
1783535903,147445,147446,0.0,Sl,HangWatcher
1783535903,147445,147452,0.0,Sl,PerfettoTrace
1783535903,147445,147453,0.0,Sl,ThreadPoolServi
1783535903,147445,147454,49.2,Sl,ThreadPoolForeg
1783535903,147445,147455,0.2,Sl,Chrome_ChildIOT
1783535903,147445,147456,46.2,Sl,ThreadPoolForeg
1783535903,147445,147464,4.3,Sl,Compositor
1783535903,147445,147465,0.0,Sl,ThreadPoolSingl
1783535903,147445,147467,47.7,Sl,ThreadPoolForeg
1783535904,147445,147445,12.3,Sl,bg_engine
1783535904,147445,147446,0.0,Sl,HangWatcher
1783535904,147445,147452,0.0,Sl,PerfettoTrace
1783535904,147445,147453,0.0,Sl,ThreadPoolServi
1783535904,147445,147454,50.5,Sl,ThreadPoolForeg
1783535904,147445,147455,0.2,Sl,Chrome_ChildIOT
1783535904,147445,147456,47.4,Sl,ThreadPoolForeg
1783535904,147445,147464,4.4,Sl,Compositor
1783535904,147445,147465,0.0,Sl,ThreadPoolSingl
1783535904,147445,147467,49.1,Sl,ThreadPoolForeg
1783535905,147445,147445,12.5,Sl,bg_engine
1783535905,147445,147446,0.0,Sl,HangWatcher
1783535905,147445,147452,0.0,Sl,PerfettoTrace
1783535905,147445,147453,0.0,Sl,ThreadPoolServi
1783535905,147445,147454,51.4,Sl,ThreadPoolForeg
1783535905,147445,147455,0.1,Sl,Chrome_ChildIOT
1783535905,147445,147456,48.1,Sl,ThreadPoolForeg
1783535905,147445,147464,4.3,Rl,Compositor
1783535905,147445,147465,0.0,Sl,ThreadPoolSingl
1783535905,147445,147467,49.8,Sl,ThreadPoolForeg
1783535906,147445,147445,12.6,Sl,bg_engine
1783535906,147445,147446,0.0,Sl,HangWatcher
1783535906,147445,147452,0.0,Sl,PerfettoTrace
1783535906,147445,147453,0.0,Sl,ThreadPoolServi
1783535906,147445,147454,50.7,Sl,ThreadPoolForeg
1783535906,147445,147455,0.1,Sl,Chrome_ChildIOT
1783535906,147445,147456,47.5,Sl,ThreadPoolForeg
1783535906,147445,147464,4.3,Sl,Compositor
1783535906,147445,147465,0.0,Sl,ThreadPoolSingl
1783535906,147445,147467,49.1,Sl,ThreadPoolForeg
1783535907,147445,147445,12.5,Sl,bg_engine
1783535907,147445,147446,0.0,Sl,HangWatcher
1783535907,147445,147452,0.0,Sl,PerfettoTrace
1783535907,147445,147453,0.0,Sl,ThreadPoolServi
1783535907,147445,147454,50.6,Sl,ThreadPoolForeg
1783535907,147445,147455,0.1,Sl,Chrome_ChildIOT
1783535907,147445,147456,47.5,Sl,ThreadPoolForeg
1783535907,147445,147464,4.3,Sl,Compositor
1783535907,147445,147465,0.0,Sl,ThreadPoolSingl
1783535907,147445,147467,49.1,Sl,ThreadPoolForeg
1783535908,147445,147445,12.7,Sl,bg_engine
1783535908,147445,147446,0.0,Sl,HangWatcher
1783535908,147445,147452,0.0,Sl,PerfettoTrace
1783535908,147445,147453,0.0,Sl,ThreadPoolServi
1783535908,147445,147454,51.5,Rl,ThreadPoolForeg
1783535908,147445,147455,0.1,Sl,Chrome_ChildIOT
1783535908,147445,147456,48.4,Rl,ThreadPoolForeg
1783535908,147445,147464,4.3,Sl,Compositor
1783535908,147445,147465,0.0,Sl,ThreadPoolSingl
1783535908,147445,147467,49.9,Rl,ThreadPoolForeg
1783535909,147445,147445,12.9,Sl,bg_engine
1783535909,147445,147446,0.0,Sl,HangWatcher
1783535909,147445,147452,0.0,Sl,PerfettoTrace
1783535909,147445,147453,0.0,Sl,ThreadPoolServi
1783535909,147445,147454,51.8,Rl,ThreadPoolForeg
1783535909,147445,147455,0.1,Sl,Chrome_ChildIOT
1783535909,147445,147456,48.6,Rl,ThreadPoolForeg
1783535909,147445,147464,4.4,Sl,Compositor
1783535909,147445,147465,0.0,Sl,ThreadPoolSingl
1783535909,147445,147467,50.2,Sl,ThreadPoolForeg
1783535910,147445,147445,12.7,Sl,bg_engine
1783535910,147445,147446,0.0,Sl,HangWatcher
1783535910,147445,147452,0.0,Sl,PerfettoTrace
1783535910,147445,147453,0.0,Sl,ThreadPoolServi
1783535910,147445,147454,51.3,Sl,ThreadPoolForeg
1783535910,147445,147455,0.1,Sl,Chrome_ChildIOT
1783535910,147445,147456,48.0,Sl,ThreadPoolForeg
1783535910,147445,147464,4.3,Sl,Compositor
1783535910,147445,147465,0.0,Sl,ThreadPoolSingl
1783535910,147445,147467,49.6,Sl,ThreadPoolForeg
1783535911,147445,147445,12.8,Sl,bg_engine
1783535911,147445,147446,0.0,Sl,HangWatcher
1783535911,147445,147452,0.0,Sl,PerfettoTrace
1783535911,147445,147453,0.0,Sl,ThreadPoolServi
1783535911,147445,147454,51.2,Rl,ThreadPoolForeg
1783535911,147445,147455,0.1,Sl,Chrome_ChildIOT
1783535911,147445,147456,48.0,Rl,ThreadPoolForeg
1783535911,147445,147464,4.3,Rl,Compositor
1783535911,147445,147465,0.0,Sl,ThreadPoolSingl
1783535911,147445,147467,49.7,Rl,ThreadPoolForeg
1783535912,147445,147445,13.0,Sl,bg_engine
1783535912,147445,147446,0.0,Sl,HangWatcher
1783535912,147445,147452,0.0,Sl,PerfettoTrace
1783535912,147445,147453,0.0,Sl,ThreadPoolServi
1783535912,147445,147454,52.0,Rl,ThreadPoolForeg
1783535912,147445,147455,0.1,Sl,Chrome_ChildIOT
1783535912,147445,147456,48.8,Rl,ThreadPoolForeg
1783535912,147445,147464,4.4,Sl,Compositor
1783535912,147445,147465,0.0,Sl,ThreadPoolSingl
1783535912,147445,147467,50.4,Rl,ThreadPoolForeg
1783535913,147445,147445,13.1,Sl,bg_engine
1783535913,147445,147446,0.0,Sl,HangWatcher
1783535913,147445,147452,0.0,Sl,PerfettoTrace
1783535913,147445,147453,0.0,Sl,ThreadPoolServi
1783535913,147445,147454,52.1,Rl,ThreadPoolForeg
1783535913,147445,147455,0.1,Sl,Chrome_ChildIOT
1783535913,147445,147456,48.9,Rl,ThreadPoolForeg
1783535913,147445,147464,4.4,Sl,Compositor
1783535913,147445,147465,0.0,Sl,ThreadPoolSingl
1783535913,147445,147467,50.4,Rl,ThreadPoolForeg
1783535914,147445,147445,13.0,Rl,bg_engine
1783535914,147445,147446,0.0,Sl,HangWatcher
1783535914,147445,147452,0.0,Sl,PerfettoTrace
1783535914,147445,147453,0.0,Sl,ThreadPoolServi
1783535914,147445,147454,51.6,Rl,ThreadPoolForeg
